"","president","speech_year","month","avg_sentiment","avg_approval"
"78","ANDREW JACKSON",1833,1833-02-01,1.06666666666667,NA
"79","ANDREW JACKSON",1833,1833-03-01,0.533333333333333,NA
"80","ANDREW JACKSON",1833,1833-09-01,0,NA
"81","ANDREW JACKSON",1833,1833-12-01,-0.0833333333333334,NA
"82","ANDREW JACKSON",1834,1834-01-01,0.346666666666667,NA
"83","ANDREW JACKSON",1834,1834-02-01,0.833333333333333,NA
"84","ANDREW JACKSON",1834,1834-03-01,0.666666666666667,NA
"85","ANDREW JACKSON",1834,1834-04-01,0.753333333333333,NA
"86","ANDREW JACKSON",1834,1834-05-01,0.866666666666667,NA
"87","ANDREW JACKSON",1834,1834-06-01,0.355442176870748,NA
"88","ANDREW JACKSON",1834,1834-12-01,0.0603174603174603,NA
"89","ANDREW JACKSON",1835,1835-01-01,0.833333333333333,NA
"90","ANDREW JACKSON",1835,1835-02-01,0.178571428571429,NA
"91","ANDREW JACKSON",1835,1835-03-01,1,NA
"92","ANDREW JACKSON",1835,1835-04-01,1,NA
"93","ANDREW JACKSON",1835,1835-12-01,0.119047619047619,NA
"94","ANDREW JACKSON",1836,1836-01-01,-0.2,NA
"95","ANDREW JACKSON",1836,1836-02-01,0.037037037037037,NA
"96","ANDREW JACKSON",1836,1836-03-01,0.75,NA
"97","ANDREW JACKSON",1836,1836-04-01,0.28,NA
"98","ANDREW JACKSON",1836,1836-05-01,-0.25,NA
"99","ANDREW JACKSON",1836,1836-06-01,0.6875,NA
"100","ANDREW JACKSON",1836,1836-07-01,-1.66666666666667,NA
"101","ANDREW JACKSON",1836,1836-08-01,0,NA
"102","ANDREW JACKSON",1836,1836-09-01,1,NA
"103","ANDREW JACKSON",1836,1836-12-01,0.317592592592593,NA
"104","ANDREW JACKSON",1837,1837-01-01,0.536190476190476,NA
"105","ANDREW JACKSON",1837,1837-02-01,0.0757575757575757,NA
"106","ANDREW JACKSON",1837,1837-03-01,0.4,NA
"107","ANDREW JOHNSON",1865,1865-04-01,0.7,NA
"108","ANDREW JOHNSON",1865,1865-05-01,-0.53843537414966,NA
"109","ANDREW JOHNSON",1865,1865-06-01,0.0999999999999999,NA
"110","ANDREW JOHNSON",1865,1865-07-01,-0.316666666666667,NA
"111","ANDREW JOHNSON",1865,1865-08-01,0,NA
"112","ANDREW JOHNSON",1865,1865-09-01,-0.2,NA
"113","ANDREW JOHNSON",1865,1865-10-01,0.458333333333334,NA
"114","ANDREW JOHNSON",1865,1865-11-01,0.25,NA
"115","ANDREW JOHNSON",1865,1865-12-01,0.0578231292517006,NA
"116","ANDREW JOHNSON",1866,1866-01-01,0.633333333333333,NA
"117","ANDREW JOHNSON",1866,1866-02-01,0.6,NA
"118","ANDREW JOHNSON",1866,1866-03-01,0.660714285714286,NA
"119","ANDREW JOHNSON",1866,1866-04-01,0.416666666666667,NA
"120","ANDREW JOHNSON",1866,1866-05-01,-0.177380952380953,NA
"121","ANDREW JOHNSON",1866,1866-06-01,0.304761904761905,NA
"122","ANDREW JOHNSON",1866,1866-07-01,0.449404761904762,NA
"123","ANDREW JOHNSON",1866,1866-08-01,-0.3,NA
"124","ANDREW JOHNSON",1866,1866-10-01,0.500000000000001,NA
"125","ANDREW JOHNSON",1866,1866-11-01,-0.125,NA
"126","ANDREW JOHNSON",1866,1866-12-01,0.214285714285714,NA
"127","ANDREW JOHNSON",1867,1867-01-01,0.0372023809523809,NA
"128","ANDREW JOHNSON",1867,1867-02-01,0.769230769230769,NA
"129","ANDREW JOHNSON",1867,1867-03-01,0.488945578231293,NA
"130","ANDREW JOHNSON",1867,1867-04-01,0.5,NA
"131","ANDREW JOHNSON",1867,1867-06-01,-0.6,NA
"132","ANDREW JOHNSON",1867,1867-07-01,0.636190476190476,NA
"133","ANDREW JOHNSON",1867,1867-08-01,-0.683333333333333,NA
"134","ANDREW JOHNSON",1867,1867-09-01,0.866666666666667,NA
"135","ANDREW JOHNSON",1867,1867-10-01,0.55,NA
"136","ANDREW JOHNSON",1867,1867-12-01,0.566666666666667,NA
"137","ANDREW JOHNSON",1868,1868-01-01,0.619047619047619,NA
"138","ANDREW JOHNSON",1868,1868-02-01,0.555555555555556,NA
"139","ANDREW JOHNSON",1868,1868-03-01,0.878787878787879,NA
"140","ANDREW JOHNSON",1868,1868-04-01,0,NA
"141","ANDREW JOHNSON",1868,1868-05-01,0.619047619047619,NA
"142","ANDREW JOHNSON",1868,1868-06-01,0.954901960784314,NA
"143","ANDREW JOHNSON",1868,1868-07-01,0.706349206349206,NA
"144","ANDREW JOHNSON",1868,1868-09-01,1,NA
"145","ANDREW JOHNSON",1868,1868-10-01,0.8,NA
"146","ANDREW JOHNSON",1868,1868-11-01,0.6,NA
"147","ANDREW JOHNSON",1868,1868-12-01,0.64,NA
"148","ANDREW JOHNSON",1869,1869-01-01,0.788888888888889,NA
"149","ANDREW JOHNSON",1869,1869-02-01,0.857843137254902,NA
"150","ANDREW JOHNSON",1869,1869-03-01,1.5,NA
"151","BARACK OBAMA",2009,2009-01-01,0.504537612146308,0.662727272727273
"152","BARACK OBAMA",2009,2009-02-01,0.39088955026455,0.636923076923077
"153","BARACK OBAMA",2009,2009-03-01,0.478311145246629,0.618709677419355
"154","BARACK OBAMA",2009,2009-04-01,0.565824803441626,0.630344827586207
"155","BARACK OBAMA",2009,2009-05-01,0.446234049175226,0.644
"156","BARACK OBAMA",2009,2009-06-01,0.476681096681097,0.605172413793103
"157","BARACK OBAMA",2009,2009-07-01,0.618832671957672,0.571
"158","BARACK OBAMA",2009,2009-08-01,0.481498829039813,0.531935483870968
"159","BARACK OBAMA",2009,2009-09-01,0.489095744680851,0.520714285714286
"160","BARACK OBAMA",2009,2009-10-01,0.583921356421356,0.526451612903226
"161","BARACK OBAMA",2009,2009-11-01,0.573336038961039,0.509310344827586
"162","BARACK OBAMA",2009,2009-12-01,0.351112155388471,0.5016
"163","BARACK OBAMA",2010,2010-01-01,0.499059829059829,0.494333333333333
"164","BARACK OBAMA",2010,2010-02-01,0.623453927025356,0.502857142857143
"165","BARACK OBAMA",2010,2010-03-01,0.497427637721755,0.485
"166","BARACK OBAMA",2010,2010-04-01,0.416695011337868,0.483928571428571
"167","BARACK OBAMA",2010,2010-05-01,0.522625948930297,0.485172413793103
"168","BARACK OBAMA",2010,2010-06-01,0.462815873015873,0.463666666666667
"169","BARACK OBAMA",2010,2010-07-01,0.362117346938775,0.455333333333333
"170","BARACK OBAMA",2010,2010-08-01,0.535928362573099,0.440322580645161
"171","BARACK OBAMA",2010,2010-09-01,0.493011249807366,0.451666666666667
"172","BARACK OBAMA",2010,2010-10-01,0.583901668011838,0.448333333333333
"173","BARACK OBAMA",2010,2010-11-01,0.713216715257531,0.451851851851852
"174","BARACK OBAMA",2010,2010-12-01,0.650558688387636,0.4628
"175","BARACK OBAMA",2011,2011-01-01,0.498888888888889,0.491034482758621
"176","BARACK OBAMA",2011,2011-02-01,0.597772108843537,0.473333333333333
"177","BARACK OBAMA",2011,2011-03-01,0.585530492898914,0.468333333333333
"178","BARACK OBAMA",2011,2011-04-01,0.540605680868839,0.441379310344828
"179","BARACK OBAMA",2011,2011-05-01,0.628353937728938,0.499
"180","BARACK OBAMA",2011,2011-06-01,0.581503198294243,0.459666666666667
"181","BARACK OBAMA",2011,2011-07-01,0.374185823754789,0.439333333333333
"182","BARACK OBAMA",2011,2011-08-01,0.362183779761904,0.405666666666667
"183","BARACK OBAMA",2011,2011-09-01,0.566089466089466,0.412068965517241
"184","BARACK OBAMA",2011,2011-10-01,0.662896825396825,0.412
"185","BARACK OBAMA",2011,2011-11-01,0.785136054421769,0.425172413793103
"186","BARACK OBAMA",2011,2011-12-01,0.435433455433455,0.431923076923077
"187","BARACK OBAMA",2012,2012-01-01,0.700146771037182,0.448333333333333
"188","BARACK OBAMA",2012,2012-02-01,0.616305377872542,0.456296296296296
"189","BARACK OBAMA",2012,2012-03-01,0.599650793650794,0.464516129032258
"190","BARACK OBAMA",2012,2012-04-01,0.5828073089701,0.476428571428571
"191","BARACK OBAMA",2012,2012-05-01,0.525860373647984,0.471666666666667
"192","BARACK OBAMA",2012,2012-06-01,0.58962646652864,0.464666666666667
"193","BARACK OBAMA",2012,2012-07-01,0.4612558356676,0.457586206896552
"194","BARACK OBAMA",2012,2012-08-01,0.540550264550264,0.450322580645161
"195","BARACK OBAMA",2012,2012-09-01,0.630676538908246,0.490666666666667
"196","BARACK OBAMA",2012,2012-10-01,0.526453308596166,0.5008
"197","BARACK OBAMA",2012,2012-11-01,0.536462728551336,0.513928571428571
"198","BARACK OBAMA",2012,2012-12-01,0.655518353174603,0.526666666666667
"199","BARACK OBAMA",2013,2013-01-01,0.518253968253968,0.521724137931034
"200","BARACK OBAMA",2013,2013-02-01,0.583606150793651,0.509615384615385
"201","BARACK OBAMA",2013,2013-03-01,0.605789825970549,0.48
"202","BARACK OBAMA",2013,2013-04-01,0.587680167852582,0.495333333333333
"203","BARACK OBAMA",2013,2013-05-01,0.634631185807656,0.489677419354839
"204","BARACK OBAMA",2013,2013-06-01,0.584667755991285,0.468666666666667
"205","BARACK OBAMA",2013,2013-07-01,0.547544642857143,0.46
"206","BARACK OBAMA",2013,2013-08-01,0.492034632034632,0.451612903225806
