,X,president,speech_year,month,avg_sentiment,avg_approval,unemploychg,sp500chg,cons_sentchg,real_gdpchg,cpichg,pcechg,gdpc1chg,ind_prochg,savingschg,avg_sentiment_ctr
31,181,BARACK OBAMA,2011,7/1/11,0.374185824,0.439333333,1.098901099,-2.147442579,-10.90909091,-0.1,-3.144044198,4.591606498,-0.027778662,0.530288677,0.1,-0.203868034
32,182,BARACK OBAMA,2011,8/1/11,0.36218378,0.405666667,0,-5.679110746,-12.40188383,-0.1,-3.7853546,2.596113322,0,0.579911041,-0.1,-0.215870078
33,183,BARACK OBAMA,2011,9/1/11,0.566089466,0.412068966,0,-7.17619883,6.630824373,-0.1,-2.60585743,4.205371661,0,-0.052219749,-0.4,-0.011964392
34,184,BARACK OBAMA,2011,10/1/11,0.662896825,0.412,2.222222222,10.77230385,2.18487395,4.7,-0.810249032,1.676274201,1.159284987,0.69652465,0,0.084842968
35,185,BARACK OBAMA,2011,11/1/11,0.785136054,0.425172414,2.272727273,-0.505871519,4.769736842,4.7,-2.217420066,0.714212646,0,-0.061652344,0.2,0.207082197
36,186,BARACK OBAMA,2011,12/1/11,0.435433455,0.431923077,1.162790698,0.853276395,9.733124019,4.7,-0.285250188,1.416422696,0,0.547069453,0.8,-0.142620402
37,187,BARACK OBAMA,2012,1/1/12,0.700146771,0.448333333,2.352941176,4.358306222,7.296137339,3.2,-3.269035265,10.01466738,0.782992766,0.604738893,0.2,0.122092913
38,188,BARACK OBAMA,2012,2/1/12,0.616305378,0.456296296,0,4.058946413,0.4,3.2,-2.56493535,10.09749496,0,0.278864656,0,0.03825152
39,189,BARACK OBAMA,2012,3/1/12,0.599650794,0.464516129,1.204819277,3.133231453,1.195219124,3.2,-2.512164464,-0.186241841,0,-0.486630946,0.5,0.021596936
40,190,BARACK OBAMA,2012,4/1/12,0.582807309,0.476428571,0,-0.749745271,0.262467192,1.7,-1.99294602,3.057031721,0.430201511,0.764324915,0.2,0.004753451
41,191,BARACK OBAMA,2012,5/1/12,0.525860374,0.471666667,0,-6.265072563,3.795811518,1.7,2.481816159,-1.2131479,0,0.178447576,0.1,-0.052193484
42,192,BARACK OBAMA,2012,6/1/12,0.589626467,0.464666667,0,3.955498213,-7.692307692,1.7,0.991635806,-2.439691483,0,-0.047754347,0.3,0.011572609
43,193,BARACK OBAMA,2012,7/1/12,0.461255836,0.457586207,0,1.259757413,-1.229508197,0.5,-0.346571914,3.387445986,0.134948209,0.266472626,-0.9,-0.116798022
44,194,BARACK OBAMA,2012,8/1/12,0.540550265,0.450322581,1.219512195,1.976336968,2.766251729,0.5,-6.971433571,2.940640601,0,-0.409512493,-0.2,-0.037503593
45,195,BARACK OBAMA,2012,9/1/12,0.630676539,0.490666667,3.703703704,2.42361537,5.383580081,0.5,-5.725519533,6.259485101,0,-0.009208877,0.2,0.052622681
46,196,BARACK OBAMA,2012,10/1/12,0.526453309,0.5008,0,-1.978940988,5.491698595,0.5,-3.236153497,4.15495186,0.113873246,0.22503764,0.6,-0.051600549
47,197,BARACK OBAMA,2012,11/1/12,0.536462729,0.513928571,1.282051282,0.284671702,0.121065375,0.5,2.015213393,4.000072073,0,0.490215663,0.9,-0.041591129
48,198,BARACK OBAMA,2012,12/1/12,0.655518353,0.526666667,-2.597402597,0.706823046,-11.85006046,0.5,0.145297926,0.398678256,0,0.314779843,2.3,0.077464495
49,199,BARACK OBAMA,2013,1/1/13,0.518253968,0.521724138,-1.265822785,5.042809652,1.234567901,3.6,-2.376946731,6.71065033,0.885675089,-0.048351923,-5.7,-0.05979989
50,200,BARACK OBAMA,2013,2/1/13,0.583606151,0.509615385,3.75,1.10606492,5.149051491,3.6,-6.515912103,3.941871675,0,0.543825754,-0.5,0.005552293
51,201,BARACK OBAMA,2013,3/1/13,0.605789826,0.48,2.597402597,3.598772352,1.288659794,3.6,3.374302923,-1.334567066,0,0.38658536,0.1,0.027735968
52,202,BARACK OBAMA,2013,4/1/13,0.587680168,0.495333333,-1.333333333,1.808576786,-2.798982188,0.5,2.50557512,-2.31938791,0.123396475,-0.121392359,0.5,0.00962631
