"","president_name","Emotion","Percentage"
"98","DWIGHT D. EISENHOWER","Disgust",0.0366783582156408
"99","FRANKLIN D. ROOSEVELT","Disgust",0.041032615775867
"100","FRANKLIN PIERCE","Disgust",0.0571109975884123
"101","GEORGE BUSH","Disgust",0.0440993163127096
"102","GEORGE W. BUSH","Disgust",0.0433450388939289
"103","GEORGE WASHINGTON","Disgust",0.0486547127868147
"104","GERALD FORD","Disgust",0.0455808952599405
"105","GROVER CLEVELAND","Disgust",0.0699058811702075
"106","HARRY S. TRUMAN","Disgust",0.0382744525248707
"107","HERBERT HOOVER","Disgust",0.0355598949129245
"108","JAMES A. GARFIELD","Disgust",0.0674000372387469
"109","JAMES BUCHANAN","Disgust",0.0538108234367555
"110","JAMES K. POLK","Disgust",0.0362309301671533
"111","JAMES MADISON","Disgust",0.0776692345470135
"112","JAMES MONROE","Disgust",0.0604384802652072
"113","JIMMY CARTER","Disgust",0.0433242750647951
"114","JOHN ADAMS","Disgust",0.137787119151001
"115","JOHN F. KENNEDY","Disgust",0.0446807406344857
"116","JOHN QUINCY ADAMS","Disgust",0.158142652845798
"117","JOHN TYLER","Disgust",0.159975236702937
"118","LYNDON B. JOHNSON","Disgust",0.0420764446447837
"119","MARTIN VAN BUREN","Disgust",0.0464590757874583
"120","MILLARD FILLMORE","Disgust",0.0514199594027785
"121","RICHARD NIXON","Disgust",0.0402830780157533
"122","RONALD REAGAN","Disgust",0.042963612540267
"123","RUTHERFORD B. HAYES","Disgust",0.0579952283895469
"124","THEODORE ROOSEVELT","Disgust",0.0688917759341393
"125","THOMAS JEFFERSON","Disgust",0.0704211710423418
"126","ULYSSES S. GRANT","Disgust",0.0457937693641301
"127","WARREN G. HARDING","Disgust",0.0556528134235487
"128","WILLIAM HENRY HARRISON","Disgust",0.0344876916135706
"129","WILLIAM HOWARD TAFT","Disgust",0.0941194519767631
"130","WILLIAM MCKINLEY","Disgust",0.0778906372817068
"131","WOODROW WILSON","Disgust",0.0498549457877566
"132","ZACHARY TAYLOR","Disgust",0.0348710827159738
"133","ABRAHAM LINCOLN","Joy",0.0606809547110258
"134","ANDREW JACKSON","Joy",0.0448737678354618
"135","ANDREW JOHNSON","Joy",0.043728013701337
"136","BARACK OBAMA","Joy",0.139889462958151
"137","BENJAMIN HARRISON","Joy",0.0765280398209512
"138","BILL CLINTON","Joy",0.135960447869609
"139","CALVIN COOLIDGE","Joy",0.130658107384403
"140","CHESTER A. ARTHUR","Joy",0.0455821442786921
"141","DONALD TRUMP","Joy",0.131638218118398
"142","DWIGHT D. EISENHOWER","Joy",0.136283367125736
"143","FRANKLIN D. ROOSEVELT","Joy",0.124677135732812
"144","FRANKLIN PIERCE","Joy",0.0316973520832498
"145","GEORGE BUSH","Joy",0.137720725999741
"146","GEORGE W. BUSH","Joy",0.137093107512566
"147","GEORGE WASHINGTON","Joy",0.0785751892094056
"148","GERALD FORD","Joy",0.143211857887887
"149","GROVER CLEVELAND","Joy",0.0614897115393315
"150","HARRY S. TRUMAN","Joy",0.11551479022605
"151","HERBERT HOOVER","Joy",0.14895703286673
"152","JAMES A. GARFIELD","Joy",0.0518866080156403
